client_id,name,address,city,state,country,phone_number,latitude,longitude
C00913,Allison Hill,18196 Anthony Forge,New Carolyn,Oklahoma,Congo,001-486-537-9402x654,0.353912,-125.126275
C02007,Brent Abbott,78161 Calderon River Suite 931,Lake Jeremyport,Colorado,Timor-Leste,516.647.5255,83.955674,-141.666070
C00840,Carolyn Daniel,6483 Cameron Trail,East Lydiamouth,Montana,Ethiopia,639-453-7672,-23.796432,121.382223
C00713,Nicole Patterson,3287 Katelyn Wall Apt. 226,South Patrickmouth,North Dakota,El Salvador,+1-401-984-5146,-89.128842,-38.594084
C00261,Pamela Romero,489 Eric Track,New Stephanie,North Dakota,Uruguay,2955701543,62.298718,-137.717632
C01792,John Jones,78248 Brandt Plains,Lake Larry,Texas,Pakistan,(578)571-3315x098,-88.069723,-141.885878
C04932,Amy Jones,1834 Lewis Curve,Sanchezfort,Nebraska,Comoros,216-856-6701,1.080848,-121.336636
C01629,Connor West,47317 Brent Plains Apt. 132,Tuckerborough,Montana,United Kingdom,9264064746,-39.024680,-20.706198
C03437,Anthony Fitzgerald,500 Shaw Walk,North Susan,Colorado,Thailand,(219)313-6193,22.534830,172.924530
C04828,Kelly Donovan,534 Anderson Rue,Stephenland,Alabama,Kuwait,+1-791-618-3842x513,-47.655156,55.248548
C01308,Michele Carr,841 Joseph Coves,West Juan,Indiana,Saint Barthelemy,634-487-4016x40052,28.604316,116.181171
C02788,Kristina Rodriguez,059 Russell Canyon,Michaelton,Minnesota,Cote d'Ivoire,+1-731-858-6923x22602,89.826826,-46.766228
C01764,Richard Rodriguez,3375 Hoover Well,East Andrew,Illinois,Iran,641-245-8685x01429,-60.900912,140.281753
C00760,Nicholas Edwards,9340 Smith Valley,West Ryan,Texas,Uruguay,895-814-8465x64823,-43.284892,150.452053
C02941,Jennifer Bass,3699 Marshall Mills Apt. 872,West Zacharymouth,Colorado,Svalbard & Jan Mayen Islands,001-534-833-2003x79176,42.708361,34.561996
C02167,Matthew Smith,3287 Angela Vista,South Dennismouth,Texas,Marshall Islands,+1-495-979-8687,30.814682,-40.847597
C04393,Sara Ramirez,347 Jennifer Freeway Suite 558,East Edwardfurt,Vermont,Cape Verde,001-831-266-5876x036,64.535702,24.215510
C00646,Tommy Evans,8893 Robinson Mews Suite 065,Ramseymouth,Florida,Nigeria,+1-906-499-0162,-76.501822,-40.329644
C02963,Daniel Murphy,6417 Kaitlyn Center Suite 310,East Jamestown,South Carolina,Cape Verde,427.319.3745,-46.039452,-13.012252
C00570,Alexander Collins,3193 Heidi Hollow Apt. 905,Stanleyland,North Carolina,Oman,906-971-6572x62849,26.923636,138.082389
C02371,Samuel Rivas,7379 Rogers Park,Hunterborough,Minnesota,South Georgia and the South Sandwich Islands,954-594-8083x136,37.800270,166.766476
C00828,Joan Smith,63495 Tran Key Suite 855,Nelsonview,Iowa,British Indian Ocean Territory (Chagos Archipelago),001-635-318-2337x4989,-37.891958,-20.953892
C03715,Christopher Smith,0084 Dana Terrace,Garciatown,Oregon,Finland,277.452.0471x1671,-49.950080,122.172204
C01333,Angela Wright,993 Hayes Mills Suite 964,New Susanville,Wisconsin,Cote d'Ivoire,+1-934-612-3281x2067,-81.238304,-55.727144
C01717,Douglas Heath,349 Ronald Plains,Lake Edward,Louisiana,Sweden,(310)924-9947,-8.371144,36.095115
C00585,Kathryn Snyder,065 Johnson Forks,Port Emilyview,Oregon,Armenia,001-727-787-4296x71756,89.887595,-123.843368
C04376,Erin Steele,680 Miller Glen Suite 168,Lake Mollymouth,Nebraska,Austria,485.697.7034,27.605892,80.227665
C01339,William Lynch,248 Andrea Course,Port Robin,New Jersey,Yemen,527-948-4677,57.979092,-102.345936
C02212,Thomas Romero,46584 Justin Hills,Grimesmouth,Ohio,Liberia,(858)286-7533x963,-4.590192,73.927189
C01800,Roberta Hughes,0289 Kane Well,Garciamouth,Alabama,Saint Helena,(362)717-4596,53.243149,24.015990
C00459,Lori Clay,091 Crystal Heights Apt. 161,South Garrettport,Alaska,Aruba,304-855-6238x69222,76.352234,-50.705490
C02585,Mr. David Little MD,4821 Landry Radial,Daniellechester,Vermont,El Salvador,643.267.1369x594,86.692221,32.496591
C00543,Keith Jennings,743 Robinson Field,Ericaberg,South Dakota,Bhutan,+1-504-470-9521x4562,54.796166,16.418266
C02578,Susan Rivas,4517 Donald Fork Suite 851,Smithside,Delaware,Korea,(549)365-1370x985,80.564942,69.251732
C03242,Elizabeth Ortiz,04711 Paige Dale,Chavezside,Nebraska,Namibia,001-526-717-9640x5377,-63.329696,17.211453
C01171,Vanessa Howard,3171 Darlene Ranch Apt. 053,Port Anne,California,Switzerland,001-683-493-3529x04228,-60.491872,174.902617
C02021,Bonnie Howard,502 Williams Streets,Foxland,New Mexico,Kiribati,001-258-991-7839x08470,17.808311,48.853906
C04416,Katherine Browning,59212 Weber Prairie,Oscarhaven,Maine,Korea,896.311.8367x36576,-6.100941,49.117182
C03510,David Mckay,11161 Cain Point Apt. 988,Elizabethchester,Minnesota,Tunisia,+1-360-749-4519x83273,59.321376,17.332836
C02966,Donald Perez,998 Chelsea Shoals Suite 024,Sandrastad,Alabama,Cocos (Keeling) Islands,(896)812-0183,31.774614,3.017138
C04175,Eric Nguyen,22901 Ramos Manors,Lawsonchester,Louisiana,Cuba,001-281-256-1497x84036,-35.125585,-18.176715
C00386,Pamela Duran,1076 David Place Apt. 885,South Michelleton,Nevada,Andorra,715.496.9664x160,75.926736,67.012641
C01311,Tamara Davis,69681 Harrell Summit,Jeffreyburgh,California,Malawi,+1-418-483-5523x1243,85.961862,-139.545019
C04886,Raymond Snyder,995 Hernandez Cliff Suite 744,West Williamport,New Jersey,Korea,8059411998,65.780988,117.596333
C03127,Nancy Williams,9782 Shannon Valleys,Toniland,North Carolina,Oman,(703)777-8892,-14.061332,27.992683
C04335,George Harper,51864 Cummings Shoals Apt. 519,West Kyle,Tennessee,Qatar,+1-762-291-4865x28168,7.334070,-14.178789
C00095,Daniel Meza,32214 William Plains Apt. 592,Mooreburgh,Vermont,Sierra Leone,+1-527-606-5379x473,35.900416,-75.838358
C04399,Travis Joyce,6886 Lisa Unions Apt. 407,Angelaville,Virginia,Tanzania,214.812.4782x61375,-75.703962,32.844601
C02787,Cynthia Vang,05152 Benjamin Village Suite 277,North Andrewborough,Georgia,Mexico,001-998-361-4341x0369,-60.241812,88.343768
C03562,Alexis Robertson,246 Christina Garden,Lopezland,North Dakota,Guyana,288-888-8067,10.207597,-43.822554
C00027,Heather Jones,195 Bradley Plains,Lisaburgh,Wyoming,Poland,772.621.7043x030,48.347228,33.794911
C04101,Kimberly King PhD,5054 Lauren Mews,Paulfurt,Michigan,Colombia,775.384.1616x9284,-68.506665,-3.949342
C00872,Elizabeth Morrison,75705 Hill Turnpike Apt. 165,North Douglas,Rhode Island,Philippines,902.713.5569x092,9.861582,58.338089
C04159,Laura Moreno,4310 Victor Loaf Apt. 447,New Justin,New York,Cook Islands,321-672-7155,-9.480993,-95.440016
C01253,Tammy Little,313 Joel Park Apt. 589,Tannerside,Florida,New Zealand,314-467-8669,-4.898533,164.852905
C04419,John Holmes,922 Shaw Ways,Port Davidberg,Maryland,Chad,(653)458-4143,77.778162,-17.422280
C04907,Anna Davidson,99590 Christopher Row,Debrashire,Nebraska,Niger,+1-407-984-4736x4710,21.567612,79.980346
C00160,Gerald Thomas,562 Robertson Coves Suite 371,Shannonberg,Connecticut,Australia,969-963-2595x3278,-7.176796,87.023633
C02520,Tony Wagner,95004 Harper Ville,Mitchelltown,Connecticut,Jersey,(545)765-0609,58.504649,-25.058142
C01974,Jonathan Duran,912 Phillip Underpass Suite 852,New William,North Carolina,Armenia,4027578729,74.569222,-8.990492
C00702,William Stevenson,588 Erickson Hills Suite 055,South Brandytown,Rhode Island,Lebanon,599-230-9728x962,63.698160,-121.000291
C00567,Jeremy Barnes,368 Salas Street Apt. 283,Whitneyfort,North Dakota,Honduras,627-585-8549x73348,-10.109700,-24.842085
C01052,Melissa Burns,8441 Huang Locks Suite 240,Stephanieland,Minnesota,Uzbekistan,547.533.8484x219,-76.372760,179.614371
C04504,Courtney Hall,5712 Tamara Estate,Delgadofort,New Mexico,Pakistan,245.440.1938,22.175144,-85.624160
C04323,Amanda Huff,40049 Sarah Isle Suite 788,Smallberg,North Carolina,Lao People's Democratic Republic,531-452-7420x549,74.001849,162.913299
C01736,Samantha Robertson,1227 Boyle Avenue,Patrickmouth,Wisconsin,Ethiopia,649-390-4530x17426,81.452765,-21.602893
C02554,Daniel Bernard,79568 Todd Unions Apt. 391,Ricestad,California,United States Virgin Islands,001-410-788-3982,49.678118,57.211342
C03589,Daniel Aguilar,707 William Motorway,New Stevenport,Washington,Angola,(940)239-1065x1801,-12.934675,39.508765
C00992,Chad May,6766 Felicia Shore Apt. 512,Ricebury,Alabama,Saudi Arabia,9477868633,-48.359922,-32.011678
C00525,Shaun Cannon,690 Jamie Courts,South Carlaton,Kansas,Saint Vincent and the Grenadines,6675383028,64.648442,-8.789884
C04820,Patricia Cardenas,2836 Hill Point,Lake Erika,Oklahoma,Lithuania,8564856624,54.399019,74.218481
C04821,Darin Mathews,0866 Paul Glens,West Deborah,New Hampshire,Tanzania,(518)930-4699x013,-33.926764,-1.241148
C00582,Terry Lewis,173 Randy Garden,Kimberlyfurt,New Jersey,Martinique,+1-754-845-8771x7535,-77.728354,122.003162
C01876,Natalie Smith,2353 Hudson Gardens Suite 854,Levyfort,New Jersey,Chile,001-252-828-7280x8010,-53.092400,158.605368
C02707,Michael Smith,0997 Smith Place Suite 008,Amandaport,Alaska,Macao,001-762-611-8233x984,16.541072,-137.576865
C01950,Jared Cunningham,1016 Bennett Mountains,Lake Albertburgh,Colorado,Luxembourg,(259)418-0339x74014,-5.581158,-171.593625
C01756,Laurie Goodwin,42939 Rhodes Plains Suite 621,Brianchester,Iowa,Taiwan,959-999-6504,-28.759568,11.024683
C04678,Jaime Lopez,94311 Moore Station Apt. 655,North Adamport,New Hampshire,Guyana,001-341-721-2678x88610,58.772246,-130.036506
C01991,Rachel Shields,6618 Ashley Extension,Jacksonview,Maryland,Ethiopia,921.526.4647x1543,32.906298,-122.569645
C01560,Adam Foster,7569 Kevin Rapids Apt. 752,Novakport,West Virginia,Puerto Rico,+1-479-235-6465x1939,33.915772,-67.445876
C03532,Eddie Schwartz,724 Johnny Drives Suite 617,Aguilarside,North Carolina,Uzbekistan,001-268-805-8911x352,-0.987688,51.099061
C03368,Brett Walker,5679 Michael Burg,Garciachester,Colorado,Brazil,001-925-745-7387x5717,-71.968024,-18.796947
C00807,Michael Johnson,123 Andrea Isle Suite 736,East Danielle,Nevada,Indonesia,5936796603,-73.205672,129.961298
C02780,Shane Lopez,71478 Harper Ridge Suite 915,Meganburgh,Utah,Romania,899-812-5134x1252,70.101836,-105.983060
C01570,Jenny Tucker,274 Jacob Ville,Harveystad,Alabama,Libyan Arab Jamahiriya,(936)988-7676,-45.103234,-135.616546
C03676,Rebecca Walker,3842 Cunningham Trail,Dunnville,Oregon,Brazil,285-980-7836x134,-19.451076,7.140837
C01504,Angie Grimes,39596 Christina Tunnel,Port Jamie,Arkansas,Montenegro,(384)498-2544x948,20.487018,-148.171134
C02047,Sharon Martinez DVM,53672 Burton Lane,Jonesland,Montana,Malaysia,001-845-577-5901x7518,25.331442,-66.263111
C04509,Frank Campbell MD,750 Cory Tunnel,Smithburgh,New Hampshire,Korea,6633242415,9.816052,176.755448
C04429,Carol Sanders,361 Aaron Neck Apt. 293,Smithmouth,Delaware,Tokelau,(427)413-6111x55426,-71.635900,104.814463
C01937,Lisa Martin,326 Heath Corners Apt. 219,Bellchester,Massachusetts,Somalia,(634)213-8999,86.739344,-18.053246
C03979,Lawrence Lopez,0376 John Route Apt. 805,Davidshire,Nebraska,Haiti,+1-527-210-9104,-73.768016,33.661214
C03286,Lori Mason,6188 Joshua Inlet Apt. 832,Peterland,Maryland,Qatar,(230)431-6179x90421,-86.953096,-92.043025
C03105,Gregory Holmes PhD,52410 Roman Groves Apt. 491,Gibsonstad,Arkansas,Luxembourg,001-225-224-1913,-86.701444,-48.707440
C02173,Jack Mora,86353 Moon Island,Margaretshire,Mississippi,British Indian Ocean Territory (Chagos Archipelago),902.238.0617x44518,9.031036,-72.265493
C03466,Richard Stevenson,5973 Edward Lodge,East Ambertown,Michigan,Afghanistan,001-564-813-8367x02410,9.990053,66.132777
C03987,Angela Davis,619 Ryan Curve,West Jose,Massachusetts,Vanuatu,(455)974-3132x9121,35.105717,-11.404661
C02431,Joshua Oconnell,4741 Eric Spur,Margaretton,Indiana,Syrian Arab Republic,521-335-6804x42067,34.028790,-125.288911
C04745,Brenda Smith,36519 Lowery Club,North Jamesmouth,Florida,Bermuda,710-570-2966x70662,-39.762006,-32.370286
C00500,Stephen Johnson,476 Brown Harbors,Taylorborough,Tennessee,Turks and Caicos Islands,638.406.5787x59856,-83.003775,-8.803909
C00469,Alyssa Cochran,78593 Craig Shoals Apt. 480,New Meghan,Missouri,Guinea,(423)595-5905,42.131106,111.050930
C03906,John Davis,308 Smith Ridges,Port David,Virginia,Christmas Island,700-629-2185x15691,-3.401861,-106.743072
